"Geneid"	"Chr"	"Start"	"End"	"Strand"	"Length"	"Name"	"Gene"	"Note"	"CEC3609_2_TR_24"	"CEC3609_3_TR_3"	"NI_3_TR_3"	"CEC3609_3_TR_6"	"CEC3672_3_TR_3"	"CEC3609_1_TR_6"	"NI_2_TR_3"	"CEC3672_2_TR_24"	"CEC3609_2_FP_6"	"CEC3609_1_FP_6"	"CEC3672_1_FP_24"	"CEC3609_2_FP_3"	"NI_2_TR_6"	"CEC3609_1_TR_24"	"CEC3672_1_TR_3"	"CEC3609_2_TR_6"	"NI_1_TR_24"	"CEC3672_1_TR_6"	"CEC3672_1_FP_3"	"CEC3672_3_TR_6"	"CEC3672_2_TR_3"	"CEC3609_3_FP_3"	"CEC3672_3_FP_3"	"CEC3609_2_TR_3"	"CEC3672_1_FP_6"	"NI_2_TR_24"	"CEC3672_2_FP_3"	"CEC3609_1_TR_3"	"CEC3672_2_FP_24"	"CEC3672_2_FP_6"	"CEC3609_2_FP_24"	"CEC3609_1_FP_3"	"CEC3609_1_FP_24"	"CEC3672_1_TR_24"	"CEC3672_3_TR_24"	"NI_1_TR_6"	"NI_1_TR_3"	"CEC3672_3_FP_24"	"CEC3609_3_FP_6"	"CEC3672_2_TR_6"	"CEC3609_3_FP_24"	"CEC3672_3_FP_6"	"CEC3609_3_TR_24"	"NI_3_TR_24"
"C1_00010W_A"	"Ca22chr1A_C_albicans_SC5314"	4059	4397	"+"	339	"C1_00010W_A"	NA	"%28orf19.6115%29%20Dubious%20open%20reading%20frame"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C1_00020C_A"	"Ca22chr1A_C_albicans_SC5314"	4409	4720	"-"	312	"C1_00020C_A"	NA	"%28orf19.6114%29%20Protein%20of%20unknown%20function%3B%20transcript%20detected%20on%20high-resolution%20tiling%20arrays"	3	0	0	1	0	0	0	2	0	0	0	0	0	3	0	1	0	2	0	0	0	0	0	2	0	0	1	0	0	0	4	0	1	0	0	0	0	1	1	0	2	0	2	0
"C1_00030C_A"	"Ca22chr1A_C_albicans_SC5314"	8597	8908	"-"	312	"C1_00030C_A"	NA	"%28orf19.6113%29%20Protein%20of%20unknown%20function%3B%20transcript%20detected%20on%20high-resolution%20tiling%20arrays"	83	48	0	66	67	51	0	146	114	149	91	29	0	91	64	71	0	90	65	63	78	27	63	48	89	0	62	37	116	78	105	46	86	77	81	0	0	122	125	80	113	62	101	0
"C1_00040W_A"	"Ca22chr1A_C_albicans_SC5314"	10718	11485	"+"	768	"C1_00040W_A"	"CTA2"	"%28orf19.6112%29%20Putative%20transcription%20factor%3B%20Med2%20mediator%20domain%3B%20activates%20transcription%20in%201-hybrid%20assay%20in%20S.%20cerevisiae%3B%20repressed%20by%20Efg1%3B%20member%20of%20a%20family%20of%20telomere-proximal%20genes%3B%20Tbf1-induced"	248	516	0	161	422	166	0	438	269	271	259	418	0	294	366	180	0	304	330	270	419	569	397	601	354	0	357	558	253	304	255	640	213	298	319	0	0	270	250	270	290	275	277	0
"C1_00050C_A"	"Ca22chr1A_C_albicans_SC5314"	11648	11995	"-"	348	"C1_00050C_A"	NA	"%28orf19.6110%29%20Ortholog%20of%20Candida%20albicans%20WO-1%20%3A%20CAWG_01361"	11	15	0	11	14	9	0	38	7	14	26	20	0	14	11	11	0	13	12	19	7	18	6	10	15	0	9	19	17	7	13	17	16	14	34	0	0	22	7	15	20	13	22	0
"C1_00060W_A"	"Ca22chr1A_C_albicans_SC5314"	12163	13701	"+"	1539	"C1_00060W_A"	"TUP1"	"%28orf19.6109%29%20Transcriptional%20corepressor%3B%20represses%20filamentous%20growth%3B%20regulates%20switching%3B%20role%20in%20germ%20tube%20induction%2C%20farnesol%20response%3B%20in%20repression%20pathways%20with%20Nrg1%2C%20Rfg1%3B%20farnesol%20upregulated%20in%20biofilm%3B%20rat%20catheter%2C%20Spider%20biofilm%20repressed"	2905	4180	0	2962	3943	2387	0	5941	3017	3642	3177	2737	0	2727	4537	3378	0	4171	4213	3867	4990	3256	4772	4556	3980	0	4534	4336	3207	3629	2642	3748	3443	3275	3644	0	0	3265	3483	4449	3458	3248	2723	0
"C1_00070W_A"	"Ca22chr1A_C_albicans_SC5314"	13778	14917	"+"	1140	"C1_00070W_A"	"MVD"	"%28orf19.6105%29%20Mevalonate%20diphosphate%20decarboxylase%3B%20functional%20homolog%20of%20S.%20cerevisiae%20Erg19%3B%20possible%20drug%20target%3B%20regulated%20by%20carbon%20source%2C%20yeast-hypha%20switch%2C%20growth%20phase%2C%20antifungals%3B%20gene%20has%20intron%3B%20rat%20catheter%2C%20Spider%20biofilm%20repressed"	917	2057	0	814	1389	638	0	2524	898	1123	1021	1786	0	1004	1420	974	0	1354	1511	1337	1611	1858	1560	2114	1434	0	1669	2102	986	1391	717	2145	792	1338	1482	0	0	1069	987	1575	716	1391	1240	0
"C1_00080C_A"	"Ca22chr1A_C_albicans_SC5314"	14910	15761	"-"	852	"C1_00080C_A"	"RCA1"	"%28orf19.6102%29%20Protein%20involved%20in%20regulation%20of%20carbonic%20anhydrases%3B%20controls%20CO2%20sensing%3B%20bZIP%20domain-containing%20transcription%20factor%20of%20the%20ATF%2FCREB%20family%3B%20null%20mutant%20displays%20slow%20growth%2C%20abnormal%20colony%20morphology%20and%20invasive%20growth"	682	681	0	740	638	591	0	1148	723	1030	633	428	0	721	686	769	0	666	583	604	887	499	648	755	687	0	629	798	620	578	746	594	951	591	638	0	0	714	872	699	871	530	669	0
"C1_00090W_A"	"Ca22chr1A_C_albicans_SC5314"	15595	16116	"+"	522	"C1_00090W_A"	NA	"%28orf19.6103%29%20Ortholog%28s%29%20have%20role%20in%20ascospore%20wall%20assembly%2C%20ascospore-type%20prospore%20membrane%20assembly%20and%20cytosol%2C%20prospore%20membrane%20localization"	59	97	0	61	78	58	0	85	74	78	68	78	0	60	77	75	0	77	58	82	116	71	73	110	62	0	52	109	81	75	56	88	68	58	67	0	0	63	79	77	69	60	54	0
"C1_00100C_A"	"Ca22chr1A_C_albicans_SC5314"	16600	17328	"-"	729	"C1_00100C_A"	NA	"%28orf19.6100%29%20Cardiolipin%20synthase%3B%20ortholog%20of%20S.%20cerevisiae%20Crd1%3B%20transcript%20is%20upregulated%20in%20clinical%20isolates%20from%20HIV%2B%20patients%20with%20oral%20candidiasis%3B%20mutants%20are%20viable%3B%20Spider%20biofilm%20repressed"	361	488	0	410	401	354	0	775	461	532	396	339	0	256	476	469	0	522	462	577	573	372	393	546	556	0	440	520	387	546	392	546	451	389	500	0	0	426	519	718	430	423	357	0
"C1_00110W_A"	"Ca22chr1A_C_albicans_SC5314"	17338	18960	"+"	1623	"C1_00110W_A"	"CCT8"	"%28orf19.6099%29%20Chaperonin-containing%20T-complex%20subunit%3B%20role%20in%20hyphal%20morphogenesis%2C%20particularly%20starvation-induced%3B%20essential%3B%20expression%20in%20S.%20cerevisiae%20inhibits%20Ras2-mediated%20pathways%3B%20CCT8%20and%20TRP1%20overlap%3B%20Spider%20biofilm%20repressed"	2054	3316	0	1968	2442	1829	0	4545	1879	2162	2095	2531	0	2050	2535	2182	0	2752	2650	2867	2783	2747	2571	3319	2588	0	2799	3345	2150	2418	1531	3198	1817	2424	2771	0	0	2178	2040	3060	1783	2395	1942	0
