tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
5476	Candida albicans	13080335	0	live	NAD2	A568_p07	NAD2	NAD2|NADH dehydrogenase subunit 2		MT	NC_018046.1	15053	16480	plus	0		
5476	Candida albicans	13080334	0	live	COX1	A568_p08	cytochrome c oxidase subunit 1			MT	NC_018046.1	8398	14557	plus	0		
5476	Candida albicans	13080333	0	live	ATP8	A568_p09	ATP8	ATP8|ATPase subunit 8		MT	NC_018046.1	7388	7534	minus	0		
5476	Candida albicans	13080332	0	live	ATP6	A568_p10	ATP6	ATP6|ATPase subunit 6		MT	NC_018046.1	6523	7263	minus	0		
5476	Candida albicans	13080331	0	live	ATP9	A568_p11	ATPse 9	ATPse 9|ATPase subunit 9		MT	NC_018046.1	6097	6327	minus	0		
5476	Candida albicans	13080330	0	live	NAD1	A568_p12	NAD1	NAD1|NADH dehydrogenase subunit 1		MT	NC_018046.1	4571	5524	plus	0		
5476	Candida albicans	13080329	0	live	NAD6	A568_p13	NAD6	NAD6|NADH dehydrogenase subunit 6		MT	NC_018046.1	4131	4571	plus	0		
5476	Candida albicans	13080328	0	live	COX2	A568_p14	COX2	COX2|cytochrome c oxidase subunit 2		MT	NC_018046.1	3275	4063	plus	0		
5476	Candida albicans	13080326	0	live	COX3b	A568_p01	COX3b	COX3b|cytochrome c oxidase subunit 3		MT	NC_018046.1	28851	29660	plus	0		
5476	Candida albicans	13080325	0	live	NAD4	A568_p02	NAD4	NAD4|NADH dehydrogenase subunit 4		MT	NC_018046.1	25749	27143	plus	0		
5476	Candida albicans	13080324	0	live	NAD5	A568_p03	NAD5	NAD5|NADH dehydrogenase subunit 5		MT	NC_018046.1	23453	25111	plus	0		
5476	Candida albicans	13080323	0	live	NAD4L	A568_p04	NAD4L	NAD4L|NADH dehydrogenase subunit 4L		MT	NC_018046.1	23199	23453	plus	0		
5476	Candida albicans	13080321	0	live	COB	A568_p05	COB	COB|cytochrome b		MT	NC_018046.1	17628	20438	plus	0		
5476	Candida albicans	13080320	0	live	NAD3	A568_p06	NAD3	NAD3|NADH dehydrogenase subunit 3		MT	NC_018046.1	16480	16869	plus	0		
5476	Candida albicans	13080327	0	live	rnl	A568_r02	large subunit ribosomal RNA			MT	NC_018046.1	18	3147	plus	0		
5476	Candida albicans	13080322	0	live	rns	A568_r01	small subunit ribosomal RNA			MT	NC_018046.1	20652	22113	plus	0		
5476	Candida albicans	13083877	0	live	A568_t22	A568_t22	tRNA			MT	NC_018046.1	27893	27975	minus	0		
5476	Candida albicans	13083876	0	live	A568_t24	A568_t24	tRNA			MT	NC_018046.1	28740	28811	plus	0		
5476	Candida albicans	13083875	0	live	A568_t23	A568_t23	tRNA			MT	NC_018046.1	27983	28064	minus	0		
5476	Candida albicans	13083874	0	live	A568_t18	A568_t18	tRNA			MT	NC_018046.1	27115	27186	plus	0		
5476	Candida albicans	13083873	0	live	A568_t15	A568_t15	tRNA			MT	NC_018046.1	25275	25358	plus	0		
5476	Candida albicans	13083872	0	live	A568_t14	A568_t14	tRNA			MT	NC_018046.1	25199	25270	plus	0		
5476	Candida albicans	13083871	0	live	A568_t13	A568_t13	tRNA			MT	NC_018046.1	25121	25192	plus	0		
5476	Candida albicans	13083870	0	live	A568_t12	A568_t12	tRNA			MT	NC_018046.1	20565	20635	plus	0		
5476	Candida albicans	13083869	0	live	A568_t10	A568_t10	tRNA			MT	NC_018046.1	14930	15000	plus	0		
5476	Candida albicans	13083868	0	live	A568_t05	A568_t05	tRNA			MT	NC_018046.1	7732	7802	minus	0		
5476	Candida albicans	13083867	0	live	A568_t19	A568_t19	tRNA			MT	NC_018046.1	27663	27733	minus	0		
5476	Candida albicans	13083866	0	live	A568_t03	A568_t03	tRNA			MT	NC_018046.1	6367	6437	minus	0		
5476	Candida albicans	13083865	0	live	A568_t02	A568_t02	tRNA			MT	NC_018046.1	4002	4072	plus	0		
5476	Candida albicans	13083864	0	live	A568_t01	A568_t01	tRNA			MT	NC_018046.1	3172	3242	plus	0		
5476	Candida albicans	13083863	0	live	A568_t21	A568_t21	tRNA			MT	NC_018046.1	27815	27885	minus	0		
5476	Candida albicans	13083862	0	live	A568_t20	A568_t20	tRNA			MT	NC_018046.1	27737	27809	minus	0		
5476	Candida albicans	13083861	0	live	A568_t17	A568_t17	tRNA			MT	NC_018046.1	25644	25717	plus	0		
5476	Candida albicans	13083860	0	live	A568_t16	A568_t16	tRNA			MT	NC_018046.1	25554	25634	plus	0		
5476	Candida albicans	13083859	0	live	A568_t11	A568_t11	tRNA			MT	NC_018046.1	15039	15109	plus	0		
5476	Candida albicans	13083858	0	live	A568_t09	A568_t09	tRNA			MT	NC_018046.1	14859	14929	plus	0		
5476	Candida albicans	13083857	0	live	A568_t08	A568_t08	tRNA			MT	NC_018046.1	14786	14856	plus	0		
5476	Candida albicans	13083856	0	live	A568_t07	A568_t07	tRNA			MT	NC_018046.1	14697	14767	plus	0		
5476	Candida albicans	13083855	0	live	A568_t06	A568_t06	tRNA			MT	NC_018046.1	7809	7879	minus	0		
5476	Candida albicans	13083854	0	live	A568_t04	A568_t04	tRNA			MT	NC_018046.1	7573	7645	minus	0		
5476	Candida albicans	3974672	0	live	NEWENTRY		Record to support submission of GeneRIFs for a gene not in Gene (Candida albicans var. stellatoidea; Candida stellatoidea; Dematium albicans; Endomyces albicans; Monilia albicans; Monilia stellatoidea; Myceloblastanon albicans; Mycotorula albicans; Oidium albicans; Parasaccharomyces albicans; Procandida albicans; Procandida stellatoidea; Saccharomyces albicans; Syringospora albicans).										
237561	Candida albicans SC5314	3641571	0	live	ERG11	CAALFM_C500660CA	sterol 14-demethylase	sterol 14-demethylase		5	NC_032093.1	148115	149701	minus	1		
237561	Candida albicans SC5314	3639260	0	live	MDR1	CAALFM_C603170CA	Mdr1p	Mdr1p		6	NC_032094.1	666383	668077	minus	1		
237561	Candida albicans SC5314	3642789	0	live	CEK1	CAALFM_C406480CA	mitogen-activated serine/threonine-protein kinase	mitogen-activated serine/threonine-protein kinase		4	NC_032092.1	1437628	1438893	minus	1		
237561	Candida albicans SC5314	3644145	0	live	EFG1	CAALFM_CR07890WA	Efg1p	Efg1p		R	NC_032096.1	1723489	1725141	plus	1		
237561	Candida albicans SC5314	3637393	0	live	HOG1	CAALFM_C203330CA	mitogen-activated protein kinase	mitogen-activated protein kinase		2	NC_032090.1	691444	692577	minus	1		
237561	Candida albicans SC5314	3644838	0	live	CDC28	CAALFM_CR06050WA	cyclin-dependent serine/threonine-protein kinase	cyclin-dependent serine/threonine-protein kinase		R	NC_032096.1	1293451	1294404	plus	1		
237561	Candida albicans SC5314	3646488	0	live	CDC42	CAALFM_C108450CA	Rho family GTPase	Rho family GTPase		1	NC_032089.1	1856784	1857359	minus	1		
237561	Candida albicans SC5314	3647354	0	live	SAP2	CAALFM_CR07800WA	Sap2p	Sap2p		R	NC_032096.1	1692632	1693828	plus	1		
237561	Candida albicans SC5314	3634838	0	live	CBK1	CAALFM_C110380CA	serine/threonine protein kinase	serine/threonine protein kinase		1	NC_032089.1	2296797	2298995	minus	1		
237561	Candida albicans SC5314	3643280	0	live	RIM101	CAALFM_C114340CA	alkaline-responsive transcriptional regulator	alkaline-responsive transcriptional regulator		1	NC_032089.1	3158465	3160450	minus	1		
237561	Candida albicans SC5314	3643927	0	live	RAS1	CAALFM_C210210CA	Ras family GTPase	Ras family GTPase		2	NC_032090.1	2096599	2097471	minus	1		
237561	Candida albicans SC5314	3639710	0	live	MKC1	CAALFM_CR00120CA	mitogen-activated serine/threonine-protein kinase	mitogen-activated serine/threonine-protein kinase		R	NC_032096.1	30873	32402	minus	1		
237561	Candida albicans SC5314	3639369	0	live	TUP1	CAALFM_C100060WA	chromatin-silencing transcriptional regulator	chromatin-silencing transcriptional regulator		1	NC_032089.1	12163	13701	plus	1		
237561	Candida albicans SC5314	3642969	0	live	PRA1	CAALFM_C406980WA	Pra1p	Pra1p		4	NC_032092.1	1547130	1548029	plus	1		
237561	Candida albicans SC5314	3646493	0	live	ENO1	CAALFM_C108500CA	phosphopyruvate hydratase	phosphopyruvate hydratase		1	NC_032089.1	1864127	1865449	minus	1		
237561	Candida albicans SC5314	3637703	0	live	VPS4	CAALFM_C503090WA	AAA family ATPase	AAA family ATPase		5	NC_032093.1	687505	688824	plus	1		
237561	Candida albicans SC5314	3641748	0	live	PBS2	CAALFM_C306070CA	mitogen-activated protein kinase kinase	mitogen-activated protein kinase kinase		3	NC_032091.1	1378314	1379951	minus	1		
237561	Candida albicans SC5314	3637421	0	live	SCH9	CAALFM_C203940CA	serine/threonine protein kinase	serine/threonine protein kinase		2	NC_032090.1	825401	827764	minus	1		
237561	Candida albicans SC5314	3646292	0	live	FLO8	CAALFM_C604350CA	Flo8p	Flo8p		6	NC_032094.1	959560	961938	minus	1		
237561	Candida albicans SC5314	3639540	0	live	VPS34	CAALFM_C106680WA	phosphatidylinositol 3-kinase	phosphatidylinositol 3-kinase		1	NC_032089.1	1427895	1430957	plus	1		
237561	Candida albicans SC5314	3634781	0	live	WOR1	CAALFM_C110150WA	Wor1p	Wor1p		1	NC_032089.1	2230403	2232760	plus	1		
237561	Candida albicans SC5314	3639678	0	live	RTT109	CAALFM_CR00410WA	H3 histone acetyltransferase	H3 histone acetyltransferase		R	NC_032096.1	104225	105304	plus	1		
237561	Candida albicans SC5314	3643166	0	live	NRG1	CAALFM_C704230WA	Nrg1p	Nrg1p		7	NC_032095.1	918812	919744	plus	1		
237561	Candida albicans SC5314	3646034	0	live	ACE2	CAALFM_CR07440WA	DNA-binding transcription factor	DNA-binding transcription factor		R	NC_032096.1	1611767	1614118	plus	1		
237561	Candida albicans SC5314	3644557	0	live	CHO1	CAALFM_C111240CA	CDP-diacylglycerol-serine O-phosphatidyltransferase	CDP-diacylglycerol-serine O-phosphatidyltransferase		1	NC_032089.1	2470408	2471229	minus	1		
237561	Candida albicans SC5314	3642256	0	live	CAALFM_C306690CA	CAALFM_C306690CA	hypothetical protein	hypothetical protein		3	NC_032091.1	1526530	1526895	minus	1		
237561	Candida albicans SC5314	3636229	0	live	HSP70	CAALFM_C113480WA	Hsp70 family chaperone	Hsp70 family chaperone		1	NC_032089.1	2955558	2957528	plus	1		
237561	Candida albicans SC5314	3646489	0	live	UPC2	CAALFM_C108460CA	Upc2p	Upc2p		1	NC_032089.1	1858136	1860274	minus	1		
237561	Candida albicans SC5314	3645265	0	live	PPZ1	CAALFM_CR06420WA	salt homeostasis regulator	salt homeostasis regulator		R	NC_032096.1	1364396	1365844	plus	1		
237561	Candida albicans SC5314	3641108	0	live	PHR1	CAALFM_C404530CA	Phr1p	Phr1p		4	NC_032092.1	970514	972160	minus	1		
237561	Candida albicans SC5314	3634947	0	live	CTA8	CAALFM_C109170WA	stress-responsive transcription factor	stress-responsive transcription factor		1	NC_032089.1	2010260	2012542	plus	1		
237561	Candida albicans SC5314	3647888	0	live	CDC11	CAALFM_C500070WA	septin	septin		5	NC_032093.1	8946	10154	plus	1		
237561	Candida albicans SC5314	3636489	0	live	ADH1	CAALFM_C505050WA	Adh1p	Adh1p		5	NC_032093.1	1107880	1108932	plus	1		
237561	Candida albicans SC5314	3640105	0	live	PTC2	CAALFM_CR01520WA	type 2C protein phosphatase	type 2C protein phosphatase		R	NC_032096.1	349630	351381	plus	1		
237561	Candida albicans SC5314	3644596	0	live	SEP7	CAALFM_C102230WA	septin	septin		1	NC_032089.1	465637	467649	plus	1		
237561	Candida albicans SC5314	3646814	0	live	ECE1	CAALFM_C403470CA	Ece1p	Ece1p		4	NC_032092.1	726514	727329	minus	1		
237561	Candida albicans SC5314	3642915	0	live	CZF1	CAALFM_C406820CA	Czf1p	Czf1p		4	NC_032092.1	1518979	1520136	minus	1		
237561	Candida albicans SC5314	3636226	0	live	HYR1	CAALFM_C113450WA	Hyr1p	Hyr1p		1	NC_032089.1	2944587	2947346	plus	1		
237561	Candida albicans SC5314	3635237	0	live	CDR1	CAALFM_C305220WA	ATP-binding cassette multidrug transporter	ATP-binding cassette multidrug transporter		3	NC_032091.1	1146045	1150550	plus	1		
237561	Candida albicans SC5314	3647148	0	live	RAD52	CAALFM_C600510CA	recombinase	recombinase		6	NC_032094.1	95673	97367	minus	1		
