"Geneid"	"Chr"	"Start"	"End"	"Strand"	"Length"	"Name"	"Gene"	"Note"	"CEC3609_1_TR_3"	"CEC3672_1_FP_24"	"CEC3609_1_TR_6"	"NI_2_TR_3"	"CEC3609_2_FP_3"	"CEC3672_2_TR_24"	"CEC3672_1_TR_6"	"CEC3609_3_FP_3"	"CEC3672_2_TR_3"	"CEC3672_1_TR_24"	"CEC3609_1_FP_3"	"CEC3609_3_TR_24"	"CEC3672_3_FP_3"	"NI_3_TR_24"	"CEC3609_3_TR_6"	"CEC3672_3_TR_24"	"NI_1_TR_24"	"CEC3672_1_TR_3"	"NI_2_TR_24"	"NI_3_TR_3"	"CEC3672_3_FP_24"	"NI_2_TR_6"	"CEC3609_2_FP_24"	"CEC3609_2_TR_3"	"CEC3609_3_FP_24"	"CEC3672_2_FP_24"	"CEC3609_1_FP_24"	"CEC3672_3_TR_6"	"CEC3672_3_TR_3"	"CEC3609_3_FP_6"	"CEC3609_2_TR_6"	"CEC3609_2_FP_6"	"CEC3609_1_TR_24"	"CEC3609_1_FP_6"	"CEC3672_2_FP_6"	"CEC3672_2_TR_6"	"CEC3672_1_FP_3"	"CEC3672_1_FP_6"	"CEC3609_2_TR_24"	"NI_1_TR_6"	"NI_1_TR_3"	"CEC3672_3_FP_6"	"CEC3609_3_TR_3"	"CEC3672_2_FP_3"
"C1_00010W_A"	"Ca22chr1A_C_albicans_SC5314"	4059	4397	"+"	339	"C1_00010W_A"	NA	"%28orf19.6115%29%20Dubious%20open%20reading%20frame"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C1_00020C_A"	"Ca22chr1A_C_albicans_SC5314"	4409	4720	"-"	312	"C1_00020C_A"	NA	"%28orf19.6114%29%20Protein%20of%20unknown%20function%3B%20transcript%20detected%20on%20high-resolution%20tiling%20arrays"	0	0	0	0	0	2	2	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	4	2	2	0	1	0	0	1	1	0	3	0	0	0	0	0	3	0	0	0	0	1
"C1_00030C_A"	"Ca22chr1A_C_albicans_SC5314"	8597	8908	"-"	312	"C1_00030C_A"	NA	"%28orf19.6113%29%20Protein%20of%20unknown%20function%3B%20transcript%20detected%20on%20high-resolution%20tiling%20arrays"	37	91	51	0	29	146	90	27	78	77	46	101	63	0	66	81	0	64	0	0	122	0	105	48	113	116	86	63	67	125	71	114	91	149	78	80	65	89	83	0	0	62	48	62
"C1_00040W_A"	"Ca22chr1A_C_albicans_SC5314"	10718	11485	"+"	768	"C1_00040W_A"	"CTA2"	"%28orf19.6112%29%20Putative%20transcription%20factor%3B%20Med2%20mediator%20domain%3B%20activates%20transcription%20in%201-hybrid%20assay%20in%20S.%20cerevisiae%3B%20repressed%20by%20Efg1%3B%20member%20of%20a%20family%20of%20telomere-proximal%20genes%3B%20Tbf1-induced"	558	259	166	0	418	438	304	569	419	298	640	277	397	0	161	319	0	366	0	0	270	0	255	601	290	253	213	270	422	250	180	269	294	271	304	270	330	354	248	0	0	275	516	357
"C1_00050C_A"	"Ca22chr1A_C_albicans_SC5314"	11648	11995	"-"	348	"C1_00050C_A"	NA	"%28orf19.6110%29%20Ortholog%20of%20Candida%20albicans%20WO-1%20%3A%20CAWG_01361"	19	26	9	0	20	38	13	18	7	14	17	22	6	0	11	34	0	11	0	0	22	0	13	10	20	17	16	19	14	7	11	7	14	14	7	15	12	15	11	0	0	13	15	9
"C1_00060W_A"	"Ca22chr1A_C_albicans_SC5314"	12163	13701	"+"	1539	"C1_00060W_A"	"TUP1"	"%28orf19.6109%29%20Transcriptional%20corepressor%3B%20represses%20filamentous%20growth%3B%20regulates%20switching%3B%20role%20in%20germ%20tube%20induction%2C%20farnesol%20response%3B%20in%20repression%20pathways%20with%20Nrg1%2C%20Rfg1%3B%20farnesol%20upregulated%20in%20biofilm%3B%20rat%20catheter%2C%20Spider%20biofilm%20repressed"	4336	3177	2387	0	2737	5941	4171	3256	4990	3275	3748	2723	4772	0	2962	3644	0	4537	0	0	3265	0	2642	4556	3458	3207	3443	3867	3943	3483	3378	3017	2727	3642	3629	4449	4213	3980	2905	0	0	3248	4180	4534
"C1_00070W_A"	"Ca22chr1A_C_albicans_SC5314"	13778	14917	"+"	1140	"C1_00070W_A"	"MVD"	"%28orf19.6105%29%20Mevalonate%20diphosphate%20decarboxylase%3B%20functional%20homolog%20of%20S.%20cerevisiae%20Erg19%3B%20possible%20drug%20target%3B%20regulated%20by%20carbon%20source%2C%20yeast-hypha%20switch%2C%20growth%20phase%2C%20antifungals%3B%20gene%20has%20intron%3B%20rat%20catheter%2C%20Spider%20biofilm%20repressed"	2102	1021	638	0	1786	2524	1354	1858	1611	1338	2145	1240	1560	0	814	1482	0	1420	0	0	1069	0	717	2114	716	986	792	1337	1389	987	974	898	1004	1123	1391	1575	1511	1434	917	0	0	1391	2057	1669
"C1_00080C_A"	"Ca22chr1A_C_albicans_SC5314"	14910	15761	"-"	852	"C1_00080C_A"	"RCA1"	"%28orf19.6102%29%20Protein%20involved%20in%20regulation%20of%20carbonic%20anhydrases%3B%20controls%20CO2%20sensing%3B%20bZIP%20domain-containing%20transcription%20factor%20of%20the%20ATF%2FCREB%20family%3B%20null%20mutant%20displays%20slow%20growth%2C%20abnormal%20colony%20morphology%20and%20invasive%20growth"	798	633	591	0	428	1148	666	499	887	591	594	669	648	0	740	638	0	686	0	0	714	0	746	755	871	620	951	604	638	872	769	723	721	1030	578	699	583	687	682	0	0	530	681	629
"C1_00090W_A"	"Ca22chr1A_C_albicans_SC5314"	15595	16116	"+"	522	"C1_00090W_A"	NA	"%28orf19.6103%29%20Ortholog%28s%29%20have%20role%20in%20ascospore%20wall%20assembly%2C%20ascospore-type%20prospore%20membrane%20assembly%20and%20cytosol%2C%20prospore%20membrane%20localization"	109	68	58	0	78	85	77	71	116	58	88	54	73	0	61	67	0	77	0	0	63	0	56	110	69	81	68	82	78	79	75	74	60	78	75	77	58	62	59	0	0	60	97	52
"C1_00100C_A"	"Ca22chr1A_C_albicans_SC5314"	16600	17328	"-"	729	"C1_00100C_A"	NA	"%28orf19.6100%29%20Cardiolipin%20synthase%3B%20ortholog%20of%20S.%20cerevisiae%20Crd1%3B%20transcript%20is%20upregulated%20in%20clinical%20isolates%20from%20HIV%2B%20patients%20with%20oral%20candidiasis%3B%20mutants%20are%20viable%3B%20Spider%20biofilm%20repressed"	520	396	354	0	339	775	522	372	573	389	546	357	393	0	410	500	0	476	0	0	426	0	392	546	430	387	451	577	401	519	469	461	256	532	546	718	462	556	361	0	0	423	488	440
