Geneid	Chr	Start	End	Strand	Length	Name	Gene	Note	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A1.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A2.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A3.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A4.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A5.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A6.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A7.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A8.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A9.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A10.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A11.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A12.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B1.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B2.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B3.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B4.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B5.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A6.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B7.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B8.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B9.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B10.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B11.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B12.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C1.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C2.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C3.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C4.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C5.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C6.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C7.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C8.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C9.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C10.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C11.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C12.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D1.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D2.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D3.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D4.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D5.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D6.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D7.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D8.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D9.bam
C1_00010W_A	Ca22chr1A_C_albicans_SC5314	4059	4397	+	339	C1_00010W_A	NA	%28orf19.6115%29%20Dubious%20open%20reading%20frame	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_00020C_A	Ca22chr1A_C_albicans_SC5314	4409	4720	-	312	C1_00020C_A	NA	%28orf19.6114%29%20Protein%20of%20unknown%20function%3B%20transcript%20detected%20on%20high-resolution%20tiling%20arrays	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	2	0	0	0	0	1	0	0	0	0	0	0	3	3	2	0	2	0	1	4	2	0	0	1
C1_00030C_A	Ca22chr1A_C_albicans_SC5314	8597	8908	-	312	C1_00030C_A	NA	%28orf19.6113%29%20Protein%20of%20unknown%20function%3B%20transcript%20detected%20on%20high-resolution%20tiling%20arrays	0	0	0	37	48	48	64	78	67	46	29	27	65	62	63	0	0	48	51	71	66	90	80	63	149	114	125	89	78	62	0	0	0	91	83	101	77	146	81	86	105	113	91	116	122
C1_00040W_A	Ca22chr1A_C_albicans_SC5314	10718	11485	+	768	C1_00040W_A	CTA2	%28orf19.6112%29%20Putative%20transcription%20factor%3B%20Med2%20mediator%20domain%3B%20activates%20transcription%20in%201-hybrid%20assay%20in%20S.%20cerevisiae%3B%20repressed%20by%20Efg1%3B%20member%20of%20a%20family%20of%20telomere-proximal%20genes%3B%20Tbf1-induced	0	0	0	558	601	516	366	419	422	640	418	569	330	357	397	0	0	516	166	180	161	304	270	270	271	269	250	354	304	275	0	0	0	294	248	277	298	438	319	213	255	290	259	253	270
C1_00050C_A	Ca22chr1A_C_albicans_SC5314	11648	11995	-	348	C1_00050C_A	NA	%28orf19.6110%29%20Ortholog%20of%20Candida%20albicans%20WO-1%20%3A%20CAWG_01361	0	0	0	19	10	15	11	7	14	17	20	18	12	9	6	0	0	15	9	11	11	13	15	19	14	7	7	15	7	13	0	0	0	14	11	22	14	38	34	16	13	20	26	17	22
C1_00060W_A	Ca22chr1A_C_albicans_SC5314	12163	13701	+	1539	C1_00060W_A	TUP1	%28orf19.6109%29%20Transcriptional%20corepressor%3B%20represses%20filamentous%20growth%3B%20regulates%20switching%3B%20role%20in%20germ%20tube%20induction%2C%20farnesol%20response%3B%20in%20repression%20pathways%20with%20Nrg1%2C%20Rfg1%3B%20farnesol%20upregulated%20in%20biofilm%3B%20rat%20catheter%2C%20Spider%20biofilm%20repressed	0	0	0	4336	4556	4180	4537	4990	3943	3748	2737	3256	4213	4534	4772	0	0	4180	2387	3378	2962	4171	4449	3867	3642	3017	3483	3980	3629	3248	0	0	0	2727	2905	2723	3275	5941	3644	3443	2642	3458	3177	3207	3265
C1_00070W_A	Ca22chr1A_C_albicans_SC5314	13778	14917	+	1140	C1_00070W_A	MVD	%28orf19.6105%29%20Mevalonate%20diphosphate%20decarboxylase%3B%20functional%20homolog%20of%20S.%20cerevisiae%20Erg19%3B%20possible%20drug%20target%3B%20regulated%20by%20carbon%20source%2C%20yeast-hypha%20switch%2C%20growth%20phase%2C%20antifungals%3B%20gene%20has%20intron%3B%20rat%20catheter%2C%20Spider%20biofilm%20repressed	0	0	0	2102	2114	2057	1420	1611	1389	2145	1786	1858	1511	1669	1560	0	0	2057	638	974	814	1354	1575	1337	1123	898	987	1434	1391	1391	0	0	0	1004	917	1240	1338	2524	1482	792	717	716	1021	986	1069
C1_00080C_A	Ca22chr1A_C_albicans_SC5314	14910	15761	-	852	C1_00080C_A	RCA1	%28orf19.6102%29%20Protein%20involved%20in%20regulation%20of%20carbonic%20anhydrases%3B%20controls%20CO2%20sensing%3B%20bZIP%20domain-containing%20transcription%20factor%20of%20the%20ATF%2FCREB%20family%3B%20null%20mutant%20displays%20slow%20growth%2C%20abnormal%20colony%20morphology%20and%20invasive%20growth	0	0	0	798	755	681	686	887	638	594	428	499	583	629	648	0	0	681	591	769	740	666	699	604	1030	723	872	687	578	530	0	0	0	721	682	669	591	1148	638	951	746	871	633	620	714
C1_00090W_A	Ca22chr1A_C_albicans_SC5314	15595	16116	+	522	C1_00090W_A	NA	%28orf19.6103%29%20Ortholog%28s%29%20have%20role%20in%20ascospore%20wall%20assembly%2C%20ascospore-type%20prospore%20membrane%20assembly%20and%20cytosol%2C%20prospore%20membrane%20localization	0	0	0	109	110	97	77	116	78	88	78	71	58	52	73	0	0	97	58	75	61	77	77	82	78	74	79	62	75	60	0	0	0	60	59	54	58	85	67	68	56	69	68	81	63
C1_00100C_A	Ca22chr1A_C_albicans_SC5314	16600	17328	-	729	C1_00100C_A	NA	%28orf19.6100%29%20Cardiolipin%20synthase%3B%20ortholog%20of%20S.%20cerevisiae%20Crd1%3B%20transcript%20is%20upregulated%20in%20clinical%20isolates%20from%20HIV%2B%20patients%20with%20oral%20candidiasis%3B%20mutants%20are%20viable%3B%20Spider%20biofilm%20repressed	0	0	0	520	546	488	476	573	401	546	339	372	462	440	393	0	0	488	354	469	410	522	718	577	532	461	519	556	546	423	0	0	0	256	361	357	389	775	500	451	392	430	396	387	426
