"Geneid"	"Chr"	"Start"	"End"	"Strand"	"Length"	"Name"	"Gene"	"Note"	"CEC3609_1_TR_6"	"CEC3672_1_FP_24"	"CEC3672_2_FP_6"	"CEC3609_1_TR_24"	"NI_1_TR_3"	"NI_2_TR_3"	"CEC3672_1_TR_6"	"CEC3672_3_TR_24"	"CEC3609_2_FP_3"	"NI_1_TR_24"	"CEC3609_1_FP_6"	"NI_3_TR_3"	"CEC3672_2_FP_3"	"CEC3672_3_FP_24"	"CEC3609_3_FP_6"	"CEC3609_2_FP_24"	"CEC3609_1_TR_3"	"CEC3609_3_FP_24"	"CEC3609_2_TR_3"	"CEC3672_1_FP_3"	"CEC3672_2_TR_6"	"CEC3672_1_FP_6"	"CEC3672_3_FP_6"	"CEC3672_3_FP_3"	"CEC3609_3_TR_3"	"CEC3672_2_TR_24"	"CEC3609_1_FP_24"	"NI_2_TR_6"	"CEC3672_3_TR_3"	"CEC3609_2_TR_24"	"CEC3609_2_TR_6"	"NI_2_TR_24"	"CEC3609_2_FP_6"	"NI_1_TR_6"	"CEC3672_2_TR_3"	"CEC3672_1_TR_24"	"CEC3609_1_FP_3"	"CEC3672_2_FP_24"	"CEC3672_1_TR_3"	"CEC3609_3_TR_6"	"NI_3_TR_24"	"CEC3609_3_FP_3"	"CEC3609_3_TR_24"	"CEC3672_3_TR_6"
"C1_00010W_A"	"Ca22chr1A_C_albicans_SC5314"	4059	4397	"+"	339	"C1_00010W_A"	NA	"%28orf19.6115%29%20Dubious%20open%20reading%20frame"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C1_00020C_A"	"Ca22chr1A_C_albicans_SC5314"	4409	4720	"-"	312	"C1_00020C_A"	NA	"%28orf19.6114%29%20Protein%20of%20unknown%20function%3B%20transcript%20detected%20on%20high-resolution%20tiling%20arrays"	0	0	0	3	0	0	2	0	0	0	0	0	1	1	1	4	0	2	2	0	0	0	0	0	0	2	1	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	2	0
"C1_00030C_A"	"Ca22chr1A_C_albicans_SC5314"	8597	8908	"-"	312	"C1_00030C_A"	NA	"%28orf19.6113%29%20Protein%20of%20unknown%20function%3B%20transcript%20detected%20on%20high-resolution%20tiling%20arrays"	51	91	78	91	0	0	90	81	29	0	149	0	62	122	125	105	37	113	48	65	80	89	62	63	48	146	86	0	67	83	71	0	114	0	78	77	46	116	64	66	0	27	101	63
"C1_00040W_A"	"Ca22chr1A_C_albicans_SC5314"	10718	11485	"+"	768	"C1_00040W_A"	"CTA2"	"%28orf19.6112%29%20Putative%20transcription%20factor%3B%20Med2%20mediator%20domain%3B%20activates%20transcription%20in%201-hybrid%20assay%20in%20S.%20cerevisiae%3B%20repressed%20by%20Efg1%3B%20member%20of%20a%20family%20of%20telomere-proximal%20genes%3B%20Tbf1-induced"	166	259	304	294	0	0	304	319	418	0	271	0	357	270	250	255	558	290	601	330	270	354	275	397	516	438	213	0	422	248	180	0	269	0	419	298	640	253	366	161	0	569	277	270
"C1_00050C_A"	"Ca22chr1A_C_albicans_SC5314"	11648	11995	"-"	348	"C1_00050C_A"	NA	"%28orf19.6110%29%20Ortholog%20of%20Candida%20albicans%20WO-1%20%3A%20CAWG_01361"	9	26	7	14	0	0	13	34	20	0	14	0	9	22	7	13	19	20	10	12	15	15	13	6	15	38	16	0	14	11	11	0	7	0	7	14	17	17	11	11	0	18	22	19
"C1_00060W_A"	"Ca22chr1A_C_albicans_SC5314"	12163	13701	"+"	1539	"C1_00060W_A"	"TUP1"	"%28orf19.6109%29%20Transcriptional%20corepressor%3B%20represses%20filamentous%20growth%3B%20regulates%20switching%3B%20role%20in%20germ%20tube%20induction%2C%20farnesol%20response%3B%20in%20repression%20pathways%20with%20Nrg1%2C%20Rfg1%3B%20farnesol%20upregulated%20in%20biofilm%3B%20rat%20catheter%2C%20Spider%20biofilm%20repressed"	2387	3177	3629	2727	0	0	4171	3644	2737	0	3642	0	4534	3265	3483	2642	4336	3458	4556	4213	4449	3980	3248	4772	4180	5941	3443	0	3943	2905	3378	0	3017	0	4990	3275	3748	3207	4537	2962	0	3256	2723	3867
"C1_00070W_A"	"Ca22chr1A_C_albicans_SC5314"	13778	14917	"+"	1140	"C1_00070W_A"	"MVD"	"%28orf19.6105%29%20Mevalonate%20diphosphate%20decarboxylase%3B%20functional%20homolog%20of%20S.%20cerevisiae%20Erg19%3B%20possible%20drug%20target%3B%20regulated%20by%20carbon%20source%2C%20yeast-hypha%20switch%2C%20growth%20phase%2C%20antifungals%3B%20gene%20has%20intron%3B%20rat%20catheter%2C%20Spider%20biofilm%20repressed"	638	1021	1391	1004	0	0	1354	1482	1786	0	1123	0	1669	1069	987	717	2102	716	2114	1511	1575	1434	1391	1560	2057	2524	792	0	1389	917	974	0	898	0	1611	1338	2145	986	1420	814	0	1858	1240	1337
"C1_00080C_A"	"Ca22chr1A_C_albicans_SC5314"	14910	15761	"-"	852	"C1_00080C_A"	"RCA1"	"%28orf19.6102%29%20Protein%20involved%20in%20regulation%20of%20carbonic%20anhydrases%3B%20controls%20CO2%20sensing%3B%20bZIP%20domain-containing%20transcription%20factor%20of%20the%20ATF%2FCREB%20family%3B%20null%20mutant%20displays%20slow%20growth%2C%20abnormal%20colony%20morphology%20and%20invasive%20growth"	591	633	578	721	0	0	666	638	428	0	1030	0	629	714	872	746	798	871	755	583	699	687	530	648	681	1148	951	0	638	682	769	0	723	0	887	591	594	620	686	740	0	499	669	604
"C1_00090W_A"	"Ca22chr1A_C_albicans_SC5314"	15595	16116	"+"	522	"C1_00090W_A"	NA	"%28orf19.6103%29%20Ortholog%28s%29%20have%20role%20in%20ascospore%20wall%20assembly%2C%20ascospore-type%20prospore%20membrane%20assembly%20and%20cytosol%2C%20prospore%20membrane%20localization"	58	68	75	60	0	0	77	67	78	0	78	0	52	63	79	56	109	69	110	58	77	62	60	73	97	85	68	0	78	59	75	0	74	0	116	58	88	81	77	61	0	71	54	82
"C1_00100C_A"	"Ca22chr1A_C_albicans_SC5314"	16600	17328	"-"	729	"C1_00100C_A"	NA	"%28orf19.6100%29%20Cardiolipin%20synthase%3B%20ortholog%20of%20S.%20cerevisiae%20Crd1%3B%20transcript%20is%20upregulated%20in%20clinical%20isolates%20from%20HIV%2B%20patients%20with%20oral%20candidiasis%3B%20mutants%20are%20viable%3B%20Spider%20biofilm%20repressed"	354	396	546	256	0	0	522	500	339	0	532	0	440	426	519	392	520	430	546	462	718	556	423	393	488	775	451	0	401	361	469	0	461	0	573	389	546	387	476	410	0	372	357	577
